id,niveau,matieres_preferees,mathematiques,physique,chimie,informatique,francais,anglais,biologie,economie,gestion,histoire_geographie,droit,technique,competences,centres_interet,activites_projets,preferences_professionnelles,environnement_travail,parcours_recommande
487,Bac+2,Mathématiques;Technique,13.99,17.11,0,0,10.26,0,0,8.21,9.44,0,0,12.64,Construction;Gestion de projets de construction;Management,Technologie;Environnement,Projet de construction d'un bâtiment,Ingénieur,Terrain,GCA
488,Bac+3,Technique;Mathématiques;Physique;Droit;Chimie,13.54,14.99,0,0,0,0,8.01,0,0,8.44,0,13.78,Gestion de projets de construction,Technologie,Plan d'aménagement d'un espace,Ingénieur;Chercheur,Bureau;Terrain;Travail en équipe,GCA
489,Baccalauréat Technique,Physique;Technique;Mathématiques,10.78,15.65,12.52,0,0,8.6,0,12.74,12.8,0,0,13.15,Construction;Conception,Technologie;Business,Projet de conception d'une maison;Plan d'aménagement d'un espace,Architecte;Ingénieur,Terrain,GCA
490,Bac+3,Technique;Physique;Gestion;Mathématiques,10.54,18.13,0,9.3,0,12.77,0,0,9.78,8.07,0,13.63,Conception;Gestion de projets de construction;Construction,Technologie;Environnement,Projet de conception d'une maison;Projet de construction d'un bâtiment,Architecte;Ingénieur,Terrain;Travail en équipe;Bureau,GCA
491,Bac+1,Physique;Technique;Mathématiques,18.96,15.58,0,10.82,0,0,0,0,13.7,15.99,0,11.56,Gestion de projets de construction;Aménagement,Environnement;Technologie;Tourisme,Plan d'aménagement d'un espace;Projet de construction d'un bâtiment,Architecte,Bureau;Terrain;Travail en équipe,GCA
492,Bac+3,Mathématiques;Physique,20,15.25,10.76,0,0,0,0,0,0,0,0,15.52,Gestion de projets de construction;Construction,Environnement;Technologie,Projet de construction d'un bâtiment;Projet de conception d'une maison,Ingénieur,Travail en équipe,GCA
493,Bac+1,Technique;Mathématiques;Physique;Droit;Anglais,18.55,11.5,8.04,10.38,0,0,0,14.72,0,0,0,14.76,Conception,Technologie,Projet de conception d'une maison,Ingénieur;Architecte,Terrain;Bureau;Travail en équipe,GCA
494,Baccalauréat D,Technique;Physique;Mathématiques;Français;Biologie,16.93,18.74,9.46,9.86,0,0,12.87,0,0,15.25,15.32,17.81,Conception;Aménagement;Construction,Technologie;Tourisme,Projet de conception d'une maison;Plan d'aménagement d'un espace,Ingénieur;Architecte,Travail en équipe;Terrain,GCA
495,Bac+3,Mathématiques;Physique;Technique,13.0,15.7,0,0,0,0,0,8.41,0,9.36,0,16.1,Conception;Aménagement,Technologie;Finance,Plan d'aménagement d'un espace;Participation à une association,Architecte,Terrain,GCA
496,Bac+3,Physique;Technique;Mathématiques;Chimie;Biologie,13.08,16.9,0,0,8.53,0,14.7,8.61,0,11.77,15.35,16.86,Conception;Construction,Environnement;Informatique,Projet de conception d'une maison;Projet de construction d'un bâtiment;Projet scolaire,Manager;Architecte,Travail en équipe;Bureau;Terrain,GCA
497,Bac+1,Physique;Technique;Mathématiques,14.49,15.74,0,0,8.09,14.63,10.49,0,10.21,14.09,0,17.19,Conception,Technologie,Projet de conception d'une maison;Plan d'aménagement d'un espace,Manager;Ingénieur,Travail en équipe;Bureau,GCA
498,Bac+1,Mathématiques;Physique;Économie;Informatique,17.54,17.34,9.63,13.77,8.44,15.88,14.8,0,0,14.15,8.34,17.04,Conception;Aménagement;Rédaction,Technologie,Projet de conception d'une maison;Plan d'aménagement d'un espace;Projet personnel,Ingénieur,Terrain,GCA
499,Baccalauréat D,Technique;Mathématiques;Physique;Anglais,11.66,15.38,11.64,0,0,10.51,0,0,11.82,13.69,13.81,16.01,Construction;Aménagement;Conception;Tourisme,Environnement,Plan d'aménagement d'un espace,Manager,Terrain;Travail en équipe;Laboratoire,GCA
500,Baccalauréat C,Physique;Technique,16.57,12.56,0,9.04,0,0,9.73,11.21,14.5,8.33,11.47,10.25,Conception;Aménagement;Construction;Accueil,Technologie,Plan d'aménagement d'un espace;Projet scolaire,Manager,Bureau,GCA
501,Baccalauréat S,Physique;Mathématiques;Technique,14.43,15.49,8.9,0,11.14,13.73,9.06,0,14.52,0,10.57,19.28,Construction;Conception;Gestion de projets de construction;Pharmacologie,Environnement;Technologie;Business,Plan d'aménagement d'un espace;Projet personnel,Manager,Terrain;Travail en équipe,GCA
502,Baccalauréat C,Physique;Technique;Mathématiques,16.67,13.12,0,11.26,15.76,14.49,0,11.38,10.37,0,11.37,15.6,Aménagement,Environnement,Projet de conception d'une maison,Manager;Entrepreneur,Travail en équipe,GCA
503,Bac+1,Physique;Mathématiques;Technique;Droit,12.92,11.92,9.96,11.54,13.68,0,0,8.78,0,0,0,13.05,Gestion de projets de construction;Conception;Aménagement,Environnement;Technologie,Plan d'aménagement d'un espace;Projet de conception d'une maison,Architecte;Manager;Développeur logiciel,Travail en équipe;Terrain;Bureau,GCA
504,Baccalauréat Technique,Physique;Mathématiques;Technique,11.13,14.81,0,0,0,0,8.05,0,0,12.83,9.94,14.82,Gestion de projets de construction;Conception;Aménagement;Gestion financière,Environnement;Technologie;Sciences,Projet de construction d'un bâtiment,Ingénieur,Terrain;Bureau,GCA
505,Bac+3,Mathématiques;Technique;Physique,18.14,11.35,12.6,15.93,12.93,14.39,0,9.7,13.28,0,0,15.38,Gestion de projets de construction;Construction;Aménagement,Environnement;Technologie;Intelligence artificielle,Projet de construction d'un bâtiment,Architecte,Bureau;Terrain,GCA
506,Baccalauréat Technique,Mathématiques;Technique;Physique;Français,17.7,13.79,0,13.81,0,11.19,0,0,14.42,12.47,11.03,12.97,Aménagement;Conception de logiciels,Technologie,Plan d'aménagement d'un espace;Projet de conception d'une maison;Participation à une association,Architecte;Ingénieur,Travail en équipe;Bureau,GCA
507,Baccalauréat Technique,Physique;Mathématiques,13.3,16.16,14.44,0,14.78,0,15.64,11.29,12.59,12.76,0,13.61,Gestion de projets de construction,Technologie;Environnement,Projet de conception d'une maison;Projet de construction d'un bâtiment,Ingénieur,Bureau;Travail en équipe;Terrain,GCA
508,Bac+2,Mathématiques;Technique;Physique,17.01,12.87,12.38,0,0,0,14.94,12.93,0,10.01,8.59,16.08,Construction;Conception;Aménagement,Environnement;Technologie;Communication,Projet de construction d'un bâtiment;Plan d'aménagement d'un espace,Architecte;Manager,Bureau,GCA
509,Baccalauréat C,Mathématiques;Physique;Technique;Chimie;Gestion,18.63,14.45,0,10.45,0,0,0,0,8.2,0,0,16.93,Gestion de projets de construction;Conception;Aménagement,Technologie;Environnement,Projet de conception d'une maison,Manager,Bureau;Terrain,GCA
510,Baccalauréat D,Physique;Technique;Gestion,15.93,13.91,0,0,14.01,11.95,15.73,11.45,8.42,0,14.3,14.88,Aménagement,Technologie;Environnement,Projet de construction d'un bâtiment;Projet de conception d'une maison;Participation à une association,Ingénieur;Architecte,Travail en équipe;Terrain;Bureau;Environnement industriel,GCA
511,Baccalauréat S,Technique;Physique;Mathématiques,12.83,13.01,8.16,9.55,0,15.49,9.7,0,8.36,0,0,16.55,Conception,Technologie;Environnement,Plan d'aménagement d'un espace,Manager,Travail en équipe;Terrain;Environnement industriel,GCA
512,Baccalauréat S,Technique;Physique;Économie,16.03,15.91,0,14.16,0,0,0,0,10.57,0,0,16.48,Conception;Gestion de projets de construction,Technologie;Environnement,Projet de construction d'un bâtiment;Projet de conception d'une maison,Architecte,Travail en équipe;Bureau,GCA
513,Baccalauréat Technique,Physique;Mathématiques,11.94,15.36,0,11.49,10.92,0,0,15.19,0,0,0,15.24,Construction;Aménagement;Gestion de projets de construction,Environnement;Technologie,Projet de conception d'une maison,Architecte,Bureau;Terrain,GCA
514,Bac+1,Mathématiques;Physique;Technique,14.08,15.01,8.02,14.75,15.73,0,8.74,0,0,0,12.33,14.4,Aménagement;Construction,Technologie;Environnement,Projet de conception d'une maison,Architecte,Terrain,GCA
515,Baccalauréat C,Mathématiques;Technique;Droit;Physique,13.87,16.51,0,0,0,0,13.37,0,0,0,0,14.54,Gestion de projets de construction;Construction,Technologie,Projet de construction d'un bâtiment,Manager;Architecte,Terrain,GCA
516,Baccalauréat D,Physique;Technique;Mathématiques;Anglais;Biologie,15.3,11.34,8.14,0,9.9,8.87,13.05,0,14.8,0,0,15.29,Gestion de projets de construction;Aménagement;Conception,Technologie,Projet de conception d'une maison;Projet de construction d'un bâtiment,Architecte;Professionnel du tourisme,Bureau,GCA
517,Bac+2,Physique;Mathématiques;Droit;Gestion,16.7,12.93,0,11.93,0,0,0,0,0,0,10.83,16.28,Construction;Aménagement;Art culinaire,Technologie,Plan d'aménagement d'un espace;Projet de conception d'une maison,Ingénieur;Architecte,Bureau;Terrain;Travail en équipe,GCA
518,Bac+1,Physique;Mathématiques;Technique;Droit;Anglais,10.97,14.38,0,0,0,0,0,0,0,0,12.29,14.12,Conception;Aménagement;Programmation,Environnement;Technologie,Projet de conception d'une maison,Manager;Ingénieur,Terrain;Travail en équipe;Bureau,GCA
519,Baccalauréat Technique,Mathématiques;Technique;Physique,13.91,12.07,0,0,0,0,0,8.95,0,0,0,18.21,Construction;Aménagement;Gestion de projets de construction;Marketing,Technologie;Environnement;Business,Plan d'aménagement d'un espace;Projet de construction d'un bâtiment,Manager;Architecte,Bureau;Atelier,GCA
520,Baccalauréat S,Mathématiques;Physique;Technique,17.09,12.24,10.33,11.77,9.41,13.94,0,0,0,0,0,18.6,Conception;Construction;Gestion de projets de construction,Technologie;Environnement,Plan d'aménagement d'un espace,Manager;Architecte,Bureau;Travail en équipe,GCA
521,Bac+2,Chimie;Physique;Mathématiques,13.01,15.82,14.94,15.97,0,0,11.24,0,0,0,0,9.21,Technologies minières;Industrie chimique;Procédés industriels,Environnement;Technologie;Sciences;Droit,Étude d'un procédé industriel;Projet d'analyse industrielle,Technicien;Chercheur,Laboratoire;Environnement international,ICMP
522,Baccalauréat C,Mathématiques;Physique;Chimie,16.14,15.67,18.49,12.71,15.2,11.5,9.77,10.86,0,14.91,0,13.09,Industrie chimique;Procédés industriels;Agri-business,Sciences;Environnement;Technologie,Projet sur les procédés industriels;Étude d'un procédé industriel,Technicien;Chercheur,Environnement industriel,ICMP
523,Baccalauréat D,Mathématiques;Physique;Chimie,16.93,16.21,15.04,12.66,9.46,0,15.05,0,8.36,14.87,0,0,Procédés industriels;Industrie chimique,Technologie;Sciences,Étude d'un procédé industriel,Chercheur;Technicien,Travail en équipe,ICMP
524,Baccalauréat Technique,Physique;Chimie,16.04,16.79,17.52,11.86,0,10.86,13.57,0,0,0,0,9.07,Procédés industriels;Analyse scientifique;Industrie chimique,Sciences;Technologie,Étude d'un procédé industriel;Projet sur les procédés industriels,Chercheur,Travail en équipe;Laboratoire;Télétravail,ICMP
525,Baccalauréat D,Mathématiques;Physique,16.17,13.45,13.98,14.4,0,0,0,12.92,12.2,9.03,0,0,Procédés industriels;Industrie chimique,Environnement;Sciences;Technologie,Étude d'un procédé industriel,Chercheur,Environnement industriel;Bureau,ICMP
526,Bac+3,Mathématiques;Physique,18.97,15.14,18.17,10.31,10.31,11.23,0,8.6,12.71,8.76,0,10.0,Analyse scientifique;Procédés industriels;Technologies minières,Sciences;Environnement,Projet d'analyse industrielle;Projet personnel,Ingénieur,Travail en équipe;Télétravail,ICMP
527,Bac+1,Mathématiques;Chimie,12.92,11.8,12.15,11.03,0,0,13.86,14.66,10.27,10.43,0,14.43,Industrie chimique;Analyse scientifique;Procédés industriels;Prise de décision,Technologie;Environnement;Sciences,Projet d'analyse industrielle,Ingénieur;Technicien,Travail en équipe;Environnement industriel;Laboratoire,ICMP
528,Bac+3,Mathématiques;Physique;Chimie,12.81,16.62,13.72,0,14.11,9.26,0,0,0,0,10.4,14.26,Analyse scientifique;Procédés industriels,Environnement;Technologie;Sciences,Étude d'un procédé industriel;Projet d'analyse industrielle,Chercheur;Ingénieur,Travail en équipe;Environnement industriel;Laboratoire,ICMP
529,Bac+2,Chimie;Mathématiques;Physique;Histoire-Géographie;Droit,16.22,12.76,13.0,0,0,0,0,0,10.17,0,12.39,0,Analyse scientifique;Technologies minières,Sciences;Technologie,Étude d'un procédé industriel,Chercheur,Travail en équipe;Laboratoire;Environnement industriel;Entreprise,ICMP
530,Bac+3,Mathématiques;Physique,13.98,12.9,13.77,0,11.77,14.64,8.76,0,11.86,0,0,0,Industrie chimique,Sciences;Environnement;Technologie,Étude d'un procédé industriel;Projet sur les procédés industriels,Technicien;Chercheur;Data Scientist,Travail en équipe,ICMP
531,Bac+3,Physique;Chimie;Anglais,16.36,11.28,19.46,0,0,11.16,0,0,0,0,13.14,0,Technologies minières;Industrie chimique,Technologie;Environnement;Sciences,Projet sur les procédés industriels,Ingénieur;Développeur logiciel,Laboratoire,ICMP
532,Baccalauréat D,Mathématiques;Physique,14.19,14.54,15.4,15.78,15.34,11.86,0,0,14.36,14.6,0,0,Procédés industriels,Technologie;Sciences;Environnement,Projet sur les procédés industriels,Chercheur;Ingénieur,Environnement industriel,ICMP
533,Bac+3,Mathématiques;Physique,17.37,13.41,19.73,0,9.16,0,0,15.16,0,10.09,8.48,8.6,Industrie chimique,Sciences;Technologie;Environnement;Tourisme,Projet sur les procédés industriels;Projet d'analyse industrielle,Ingénieur;Chercheur,Laboratoire,ICMP
534,Baccalauréat Technique,Chimie;Physique,19.39,13.91,15.93,0,0,0,8.95,0,0,0,15.27,0,Analyse scientifique,Environnement;Technologie,Étude d'un procédé industriel;Projet sur les procédés industriels,Chercheur,Laboratoire,ICMP
535,Bac+1,Chimie;Mathématiques;Physique;Économie;Anglais,12.18,16.04,11.53,0,8.41,0,13.3,11.25,10.76,10.59,0,0,Procédés industriels;Industrie chimique;Gestion commerciale,Technologie;Sciences,Projet d'analyse industrielle;Étude d'un procédé industriel,Technicien;Chercheur,Travail en équipe;Laboratoire;Environnement industriel;Atelier,ICMP
536,Bac+3,Physique;Chimie;Mathématiques,16.44,14.46,19.15,13.11,9.25,14.08,10.94,14.99,0,0,14.87,0,Procédés industriels;Industrie chimique;Valorisation du patrimoine,Environnement;Technologie,Projet sur les procédés industriels;Étude d'un procédé industriel,Ingénieur;Technicien,Environnement industriel;Laboratoire,ICMP
537,Bac+1,Physique;Mathématiques,11.88,14.39,14.65,0,9.14,9.4,8.11,10.61,9.54,0,0,8.01,Procédés industriels,Technologie;Environnement;Sciences;Business,Projet sur les procédés industriels,Technicien;Entrepreneur,Laboratoire,ICMP
538,Baccalauréat D,Mathématiques;Physique;Économie;Histoire-Géographie,13.52,16.91,14.35,8.58,0,10.3,0,0,8.62,14.07,0,0,Technologies minières;Marketing,Technologie;Environnement,Projet d'analyse industrielle;Projet scolaire,Ingénieur,Environnement industriel;Laboratoire,ICMP
539,Baccalauréat S,Chimie;Mathématiques;Physique;Droit;Économie,19.65,16.74,14.89,10.59,11.94,12.58,0,14.08,15.16,11.35,0,0,Technologies minières,Environnement,Projet sur les procédés industriels;Étude d'un procédé industriel;Projet scolaire,Technicien;Chercheur,Environnement industriel,ICMP
540,Baccalauréat Technique,Mathématiques;Chimie;Physique;Histoire-Géographie,11.56,14.29,16.01,9.76,10.24,0,12.91,0,0,10.41,0,0,Technologies minières,Environnement,Projet sur les procédés industriels,Ingénieur;Chercheur,Laboratoire,ICMP
541,Bac+2,Physique;Mathématiques,16.29,12.88,14.63,15.65,0,14.67,0,9.3,11.62,14.1,9.16,0,Technologies minières;Analyse scientifique;Procédés industriels,Technologie,Projet d'analyse industrielle,Technicien;Chercheur,Environnement industriel;Travail en équipe;Laboratoire,ICMP
542,Baccalauréat D,Physique;Mathématiques;Français,17.33,10.55,16.96,8.95,0,0,0,9.68,0,0,15.89,0,Analyse scientifique;Communication numérique,Sciences;Environnement;Technologie,Projet sur les procédés industriels;Projet d'analyse industrielle;Participation à une association,Chercheur,Travail en équipe,ICMP
543,Bac+3,Physique;Mathématiques,15.64,12.92,13.72,8.8,14.73,13.74,11.94,0,15.76,13.82,0,0,Analyse scientifique;Tourisme,Environnement;Sciences;Droit,Étude d'un procédé industriel,Technicien;Ingénieur,Environnement industriel;Travail en équipe,ICMP
544,Bac+2,Physique;Mathématiques,12.04,15.42,17.79,0,0,0,11.37,8.47,11.77,0,9.0,0,Procédés industriels,Technologie;Environnement;Sciences,Projet d'analyse industrielle,Ingénieur,Laboratoire;Environnement industriel;Travail en équipe,ICMP
545,Baccalauréat D,Mathématiques;Physique;Chimie,12.33,13.98,12.34,14.95,13.09,0,0,9.77,0,14.77,0,8.32,Analyse scientifique;Industrie chimique;Technologies minières,Environnement,Projet sur les procédés industriels,Ingénieur;Développeur logiciel,Travail en équipe;Environnement industriel,ICMP
546,Bac+1,Physique;Chimie;Droit;Anglais,17.04,12.38,19.94,0,8.75,0,0,11.1,13.6,9.47,14.34,15.1,Analyse scientifique,Technologie;Environnement;Droit,Étude d'un procédé industriel;Projet d'analyse industrielle,Chercheur;Technicien,Travail en équipe;Environnement industriel,ICMP
547,Baccalauréat S,Mathématiques;Chimie;Physique,16.65,15.08,13.06,11.31,12.54,12.27,8.88,0,11.37,11.58,11.94,0,Technologies minières,Technologie;Sciences;Environnement,Projet sur les procédés industriels;Projet d'analyse industrielle;Projet scolaire,Technicien;Chercheur,Laboratoire,ICMP
548,Bac+3,Physique;Mathématiques;Chimie,19.09,16.73,16.13,13.24,0,13.2,0,11.62,0,0,0,9.94,Analyse scientifique;Technologies minières;Organisation,Environnement;Technologie;Sciences;Intelligence artificielle,Étude d'un procédé industriel;Projet d'analyse industrielle;Projet scolaire,Chercheur;Ingénieur,Environnement industriel;Laboratoire;Travail en équipe;Bureau,ICMP
549,Bac+3,Mathématiques;Chimie,16.65,14.23,13.47,0,0,14.02,11.61,0,14.32,15.82,0,13.79,Procédés industriels;Technologies minières;Industrie chimique,Environnement;Technologie,Étude d'un procédé industriel;Projet sur les procédés industriels;Participation à une association,Technicien;Ingénieur;Commercial,Environnement industriel,ICMP
550,Baccalauréat C,Chimie;Mathématiques;Physique;Informatique,12.14,14.49,17.11,0,0,15.02,12.19,0,0,0,10.04,10.25,Analyse scientifique;Procédés industriels,Environnement;Technologie;Droit,Projet sur les procédés industriels;Projet d'analyse industrielle,Technicien,Environnement industriel;Laboratoire;Administration,ICMP
551,Bac+1,Chimie;Physique;Mathématiques,16.59,13.46,18.51,11.7,0,15.18,0,0,0,0,8.75,15.42,Industrie chimique;Procédés industriels;Organisation,Technologie;Environnement,Projet d'analyse industrielle;Participation à une association,Technicien,Environnement industriel;Laboratoire;Travail en équipe,ICMP
552,Baccalauréat Technique,Physique;Mathématiques;Droit;Informatique,15.43,13.31,13.86,9.98,0,0,0,11.1,0,15.24,0,8.35,Technologies minières;Industrie chimique;Analyse scientifique,Environnement;Technologie,Projet sur les procédés industriels,Ingénieur;Manager,Laboratoire;Travail en équipe,ICMP
553,Bac+2,Physique;Chimie;Anglais;Biologie,14.77,18.06,11.55,0,0,15.75,12.35,0,0,15.33,0,13.78,Industrie chimique,Environnement,Étude d'un procédé industriel,Technicien;Ingénieur;Manager,Laboratoire;Environnement industriel;Travail individuel,ICMP
554,Baccalauréat S,Mathématiques;Chimie;Physique,11.09,14.71,12.17,9.73,0,13.91,0,0,0,0,12.95,0,Industrie chimique;Procédés industriels;Analyse scientifique;Gestion d'exploitation,Environnement;Technologie;Sciences,Étude d'un procédé industriel;Projet d'analyse industrielle,Chercheur;Ingénieur;Data Scientist,Laboratoire,ICMP
555,Bac+1,Mathématiques;Physique,17.63,15.16,13.65,0,8.71,10.07,0,0,0,10.28,0,14.1,Industrie chimique;Technologies minières,Technologie;Business,Projet sur les procédés industriels,Technicien;Ingénieur,Laboratoire,ICMP
556,Baccalauréat S,Chimie;Physique,18.15,19.31,12.65,0,0,15.16,0,12.56,0,10.02,15.17,0,Industrie chimique;Analyse scientifique,Sciences;Droit,Étude d'un procédé industriel,Technicien;Chercheur;Manager,Environnement industriel,ICMP
557,Bac+1,Chimie;Mathématiques;Physique,11.92,14.17,14.69,0,0,13.33,8.14,8.19,0,14.59,0,15.63,Procédés industriels,Environnement;Sciences;Technologie,Projet d'analyse industrielle;Projet sur les procédés industriels,Ingénieur;Agronome,Travail en équipe;Administration,ICMP
558,Bac+3,Mathématiques;Physique,18.01,15.57,16.58,0,0,15.61,12.35,0,0,0,13.92,10.1,Industrie chimique,Sciences,Projet sur les procédés industriels;Projet d'analyse industrielle,Ingénieur,Travail en équipe;Environnement industriel;Laboratoire,ICMP
559,Bac+2,Physique;Chimie;Mathématiques,19.33,15.79,15.58,0,0,0,0,0,12.9,0,11.58,0,Procédés industriels,Environnement,Projet d'analyse industrielle;Projet sur les procédés industriels,Chercheur;Technicien,Laboratoire;Environnement industriel;Travail en équipe,ICMP
560,Bac+1,Chimie;Physique,15.78,16.83,15.47,12.21,0,8.7,0,0,0,15.39,9.27,11.48,Procédés industriels;Technologies minières;Industrie chimique,Sciences;Technologie,Projet sur les procédés industriels;Projet d'analyse industrielle,Technicien,Laboratoire;Environnement industriel;Travail en équipe;Terrain,ICMP
561,Bac+2,Biologie;Anglais;Français;Droit;Histoire-Géographie,12.39,12.46,0,0,16.06,19.75,15.22,15.58,11.86,16.07,0,15.66,Communication touristique;Valorisation du patrimoine,Communication;Environnement;Tourisme,Projet de valorisation du patrimoine;Création d'un circuit touristique;Projet personnel,Professionnel du tourisme;Entrepreneur,Travail en équipe,TEE
562,Bac+3,Anglais;Histoire-Géographie;Biologie;Français;Mathématiques,0,0,0,0,10.57,16.79,12.98,13.0,0,14.42,13.29,0,Valorisation du patrimoine;Électromécanique,Environnement,Projet de valorisation du patrimoine,Professionnel du tourisme;Entrepreneur;Ingénieur,Bureau;Terrain;Travail en équipe,TEE
563,Bac+1,Biologie;Histoire-Géographie,13.61,0,11.76,0,18.28,15.65,18.41,0,0,16.09,0,11.26,Environnement;Gestion touristique,Environnement;Tourisme;Communication,Création d'un circuit touristique;Projet de découverte touristique,Commercial,Environnement international;Bureau,TEE
564,Baccalauréat C,Histoire-Géographie;Biologie;Droit,0,15.52,12.38,9.28,14.72,14.37,13.21,14.89,0,15.2,12.06,0,Valorisation du patrimoine,Environnement;Tourisme;Communication,Projet de valorisation du patrimoine;Création d'un circuit touristique,Commercial;Data Scientist,Terrain;Bureau,TEE
565,Baccalauréat C,Anglais;Histoire-Géographie;Biologie;Français,0,11.66,15.34,0,17.1,16.19,17.69,15.78,13.08,18.53,0,12.5,Gestion touristique,Communication;Environnement;Agriculture,Projet de valorisation du patrimoine,Commercial,Bureau,TEE
566,Baccalauréat Technique,Anglais;Biologie;Français,11.71,13.47,0,9.79,16.81,15.4,18.05,9.14,0,14.69,0,9.48,Environnement;Gestion touristique,Environnement;Tourisme;Communication;Agriculture,Création d'un circuit touristique;Projet de découverte touristique,Commercial;Entrepreneur,Travail en équipe,TEE
567,Baccalauréat C,Français;Histoire-Géographie,13.32,0,10.86,0,13.36,13.63,11.65,0,9.6,14.39,0,8.69,Communication touristique;Valorisation du patrimoine,Communication;Tourisme;Environnement,Projet de découverte touristique,Entrepreneur,Environnement international,TEE
568,Baccalauréat C,Français;Anglais;Biologie;Histoire-Géographie,8.16,0,0,0,17.66,13.23,15.22,0,0,17.37,13.42,0,Valorisation du patrimoine;Environnement,Tourisme,Projet de valorisation du patrimoine,Commercial,Travail en équipe,TEE
569,Bac+2,Histoire-Géographie;Biologie,10.93,0,9.41,0,11.79,16.28,14.75,0,13.75,11.87,10.07,0,Valorisation du patrimoine;Environnement;Communication touristique;Production agroalimentaire,Tourisme;Communication,Projet de valorisation du patrimoine,Commercial;Professionnel du tourisme,Travail en équipe;Bureau,TEE
570,Baccalauréat D,Français;Histoire-Géographie;Anglais;Biologie;Physique,0,9.29,11.42,0,10.74,14.05,14.42,0,12.54,11.9,11.68,0,Gestion touristique,Communication;Environnement;Tourisme;Informatique,Projet de valorisation du patrimoine;Projet de découverte touristique,Professionnel du tourisme,Terrain;Environnement international,TEE
571,Baccalauréat Technique,Anglais;Histoire-Géographie;Informatique;Droit,0,0,0,0,13.42,13.01,15.05,9.9,0,14.35,0,11.26,Communication touristique;Environnement;Valorisation du patrimoine;Analyse des systèmes,Communication;Tourisme;Environnement,Projet de découverte touristique;Projet scolaire,Commercial;Agronome,Terrain;Environnement international,TEE
572,Baccalauréat Technique,Français;Histoire-Géographie,9.88,0,14.37,14.17,17.52,13.85,12.87,0,11.32,12.47,0,0,Communication touristique;Gestion touristique;Valorisation du patrimoine,Communication;Environnement,Création d'un circuit touristique;Projet de découverte touristique;Projet scolaire,Professionnel du tourisme;Entrepreneur,Terrain;Environnement international;Bureau,TEE
573,Bac+3,Biologie;Français;Mathématiques,0,0,0,9.44,15.13,10.98,18.08,0,0,12.99,12.84,11.16,Communication touristique;Gestion touristique,Environnement;Communication;Sciences,Projet de valorisation du patrimoine;Projet de découverte touristique,Professionnel du tourisme;Commercial,Environnement international;Terrain;Travail en équipe,TEE
574,Baccalauréat C,Biologie;Histoire-Géographie;Français,11.96,0,14.77,0,18.19,13.56,14.25,0,0,18.33,14.3,0,Communication touristique,Tourisme;Communication;Environnement,Projet de découverte touristique,Professionnel du tourisme;Commercial;Architecte,Bureau;Environnement international,TEE
575,Baccalauréat C,Biologie;Histoire-Géographie;Anglais;Français,11.83,0,11.02,0,14.62,13.0,14.78,0,10.23,14.39,0,13.83,Gestion touristique;Valorisation du patrimoine;Communication touristique,Communication,Projet de valorisation du patrimoine,Professionnel du tourisme;Commercial,Travail en équipe;Environnement industriel,TEE
576,Baccalauréat C,Anglais;Histoire-Géographie;Français;Chimie,9.26,0,0,12.29,15.3,17.74,14.04,11.59,0,18.01,0,0,Environnement;Communication touristique,Communication;Tourisme;Environnement;Droit,Création d'un circuit touristique;Participation à une association,Commercial;Entrepreneur,Terrain;Travail en équipe;Environnement international,TEE
577,Baccalauréat Technique,Français;Anglais;Biologie,0,0,0,9.95,16.86,13.25,17.54,14.54,0,14.98,0,0,Communication touristique,Tourisme;Communication;Environnement,Création d'un circuit touristique,Entrepreneur;Commercial,Terrain;Bureau;Environnement international,TEE
578,Baccalauréat C,Anglais;Histoire-Géographie;Français,0,0,8.96,0,13.22,14.37,14.04,12.82,11.81,12.59,12.13,9.8,Communication touristique;Gestion touristique;Environnement;Élevage,Communication;Tourisme,Projet de découverte touristique,Professionnel du tourisme;Commercial,Bureau,TEE
579,Bac+2,Histoire-Géographie;Anglais;Biologie;Français,13.63,9.5,0,12.34,14.09,12.59,14.72,9.87,9.74,11.41,0,0,Communication touristique;Environnement;Valorisation du patrimoine,Tourisme;Environnement;Communication,Projet de découverte touristique;Création d'un circuit touristique,Entrepreneur,Bureau;Travail en équipe;Terrain,TEE
580,Baccalauréat S,Histoire-Géographie;Biologie,0,12.07,9.65,0,17.03,14.87,12.97,10.35,15.36,14.76,0,0,Gestion touristique;Environnement,Tourisme;Communication;Environnement,Projet de découverte touristique,Commercial;Entrepreneur,Terrain,TEE
581,Bac+3,Histoire-Géographie;Français;Anglais,0,0,15.88,13.55,15.23,15.35,13.7,0,0,14.02,8.52,15.92,Environnement;Informatique industrielle,Tourisme;Communication,Projet de découverte touristique;Création d'un circuit touristique,Commercial,Terrain,TEE
582,Baccalauréat D,Biologie;Français,0,13.14,10.56,13.99,14.35,14.59,16.08,13.31,0,17.09,0,12.3,Environnement;Analyse des systèmes,Communication;Tourisme;Environnement,Création d'un circuit touristique;Projet personnel,Commercial;Entrepreneur,Bureau;Travail en équipe;Terrain,TEE
583,Bac+3,Histoire-Géographie;Biologie,0,0,11.78,15.66,15.12,16.97,16.54,10.3,13.82,15.31,0,0,Gestion touristique;Valorisation du patrimoine;Contrôle qualité,Communication,Projet de valorisation du patrimoine,Entrepreneur;Commercial,Terrain;Environnement international,TEE
